MASTER_ID,NAME,LOC,STATUS,BILL_ACC_CNT,SERV_ACC_CNT,ACTV_ASSET_CNT,ORDER_CNT,TOT_NEW_SALE,TOT_UPGRADE,TOT_DGRADE,TOT_CHURN_AMT,Revenue(ZAR)
1-C7-2417,BARONE BUDGE & DOMINICK (PTY) LTD,ORA-4147_BAR010,Active,3,1,22,4,703076,0,0,-32400,R134 294.21
1-C7-2420,BARCLAYS BANK PLC,ORA-4150_BAR016,Active,1,11,247,39,0,0,0,0,R2 754 111.11
1-C7-2423,BASF HOLDINGS SA (PTY) LTD,ORA-4153_BAS001,Active,1,1,40,1,0,0,0,-16428,R26 460.12
1-C7-2432,BAYER (PTY) LTD,ORA-4163_BAY002,Active,1,1,13,0,0,0,0,0,R3 838.06
1-C7-2433,B BREEDLOVE (PTY) LTD,ORA-4164_BBR002,Active,1,1,1,0,0,0,0,0,R135.00
1-C7-2437,BUSINESS CONNEXION,ORA-4168_BCX001,Active,5,8,72,2,0,0,0,-42360,R112 060.03
1-C7-2439,B D C WIRELESS SOLUTIONS CC,ORA-4170_BDC001,Active,1,2,2,0,0,0,0,0,R1 682.39
1-C7-2443,B & D SYSTEMS ENGINEERS CC,ORA-4174_BDS001,Active,3,65,233,10,119352,0,0,-71880,R197 842.92
1-C7-2446,AXIZ (PTY) LTD,ORA-4178_AXI003,Active,1,1,49,30,27280,0,0,0,R34 961.05
1-C7-2451,B2E TECHNOLOGIES (PTY) LTD,ORA-4183_B2E001,Active,2,20,82,0,0,0,0,0,R27 152.46
1-C7-2457,BAKWENA PLATINUM CORRIDOR CONCESSIONAIRE,ORA-4190_BAK003,Active,1,2,13,0,0,0,0,0,R3 136.28
1-C7-2460,STRAUSS DALY (WESTERN CAPE) INCORPORATED,ORA-4193_BAL004,Active,1,1,14,0,0,0,0,0,R5 753.70
1-C7-2461,BAMANGWATO CONSESSIONS (PTY) LTD,ORA-4194_BAM001,Active,1,1,0,4,0,0,0,-19447.8,R261.10
1-C7-2466,BARKER INSURANCE BROKERS,ORA-4199_BAR,Active,1,1,0,2,0,0,0,0,-R857.47
1-C7-2467,BARLOWORLD LIMITED,ORA-4200_BAR001,Active,1,1,2,0,0,0,0,0,-R200.00
1-C7-2479,AT&T SOUTH AFRICA (PTY) LTD,ORA-4213_ATT002,Active,1,2,179,2,0,0,0,-41983.92,R669 984.59
1-C7-2482,AUDENSBERG TOYOTA,ORA-4216_AUD003,Active,1,1,0,0,0,0,0,0,R1 695.00
1-C7-2483,AUNDE SOUTH AFRICA  (PTY) LTD,ORA-4217_AUN001,Inactive - Request,0,1,0,0,0,0,0,0,R0.00
1-C7-2494,CISCO SYSTEMS SA (PTY) LTD,ORA-3881_CIS002,Active,1,1,7,0,0,0,0,0,R3 451.28
1-C7-2498,CITIBANK,ORA-3885_CIT007,Active,1,4,67,0,0,0,0,0,R60 053.42
1-C7-2500,CITY LODGE HOTELS,ORA-3887_CIT009,Active,1,1,24,5,0,0,0,-24228,R3 884.62
1-C7-2501,CITY OF CAPE TOWN,ORA-3888_CIT010,Active,1,3,69,2,306980,0,0,0,R197 541.11
1-C7-2507,CLASSICFM,ORA-3894_CLA003,Active,1,0,89,8,365832,0,0,0,R55 682.52
1-C7-2512,NEW CLICKS SA (PTY) LTD,ORA-3900_CLI002,Active,3,33,438,71,719345.6,1206689.72,-30720,-91779,R830 620.65
1-C7-2515,CLOVER SA,ORA-3904_CLO001,Active,1,8,23,0,0,0,0,0,R6 086.94
1-C7-2534,AECI LIMITED,ORA-3922_CHE005 CHE005,Active,3,94,884,209,3221991.26,37720,0,-154140,R955 370.03
1-C7-2535,VENTURY GROUP (PTY) LTD,ORA-3923_CHE006,Inactive,1,0,2,0,0,0,0,0,R0.00
1-C7-2536,CHEMIMPO SA (PTY) LTD,ORA-3924_CHE009,Active,1,3,0,0,0,0,0,0,R0.00
1-C7-2537,LIBSTAR OPERATIONS (PTY) LTD - CHET CHEMICALS,ORA-3925_CHE011,Active,1,1,5,0,0,0,0,0,R544.13
1-C7-2538,CHEP SA (PTY) LTD,ORA-3926_CHE012,Active,1,1,28,4,0,0,0,-96847.08,R27 579.16
1-C7-2544,CHOICE SOURCING (PTY) LTD,ORA-3932_CHO003,Active,1,0,59,4,11294,0,1100,0,R26 731.03
1-C7-2545,CENTRAL HIGH TRADING 131,ORA-3934_CHT001,Active,1,2,1,0,0,0,0,0,R0.00
1-C7-2547,CELCOM (PTY) LTD,ORA-3937_CEL002,Active,1,1,0,0,0,0,0,0,R685.67
1-C7-2548,CELL C (PTY) LTD,ORA-3938_CEL005,Active,1,2,62,2,362400,0,0,-90000,R270 970.55
1-C7-2551,CELLSECURE,ORA-3941_CEL012,Active,1,1,0,0,0,0,0,0,R113.84
1-C7-2552,CELIA PROPERTIES,ORA-3942_CEL013,Active,1,1,1,0,0,0,0,0,R434.56
1-C7-2555,THE CENTRE FOR THE STUDY OF VIOLENCE AND RECONCIL,ORA-3945_CEN012,Active,1,1,1,0,0,0,0,0,R43.83
1-C7-2559,CENTEQ NETWORKING (PTY) LTD.,ORA-3949_CEN017,Active,1,11,8,2,108748,0,0,-20083.8,R0.00
1-C7-2563,CORE FREIGHT SYSTEMS (PTY) LTD,ORA-3954_CFS002,Active,1,2,8,0,0,0,0,0,R33 994.46
1-C7-2572,SMART OFFICE CONNEXION GAUTENG (PTY) LTD,ORA-3964_CAN006,Active,1,11,44,0,0,0,0,0,R48 171.85
1-C7-2581,OOS VRYSTAAT KAAP BEDRYF BPK / OPERATIONS LTD,ORA-3973_CAP023,Active,1,1,1,0,0,0,0,0,R0.00
1-C7-2584,EUROP ASSISTANCE WORLD WIDE SE,ORA-3976_CAR006,Active,1,0,87,13,0,0,0,-431755.08,R40 276.42
1-C7-2595,CORIS CAPITAL LTD,ORA-3988_CCL001,Active,1,2,0,0,0,0,0,0,R73.00
1-C7-2596,CCMA,ORA-3989_CCM001,Active,1,6,2,0,0,0,0,0,R21 033.29
1-C7-2600,CEB WANANCHI TECHNOLOGIES,ORA-3993_CEB001,Active,2,1,11,7,53525,0,0,0,R5 172.58
1-C7-2603,THE SCIENTIFIC GROUP (PTY) LTD,ORA-3996_BUS014,Active,1,6,193,11,39926,0,-60000,0,R193 129.39
1-C7-2622,AEGIS BPO HOLDINGS SOUTH AFRICA (PTY) LTD,ORA-4016_CAL010,Active,2,2,22,0,59712,0,0,0,R17 856.67
1-C7-2626,NATIVE VML (PTY) LTD,ORA-4020_CAM012,Active,1,1,2,2,803328,0,0,0,R37 731.00
1-C7-2658,EFFECTIVE INTELLIGENCE (PTY) LTD,ORA-4839_EFF003,Active,1,1,14,0,0,12600,0,0,R21 239.51
1-C7-2660,EGOLI GAS (PTY) LTD,ORA-4841_EGO001,Active,1,1,9,0,0,0,0,0,R2 286.33
1-C7-2663,EH WALTON PACKAGING (PTY) LTD,ORA-4844_EHW001,Active,1,4,2,0,0,0,0,0,R1 661.66
1-C7-2671,ELECTORAL INSTITUTE OF SA,ORA-4853_ELE017,Active,1,1,0,2,0,0,0,-25080,R1 224.10
1-C7-2681,AIRBUS DS OPTRONICS (PTY) LTD,ORA-4864_ELO001,Active,1,2,0,6,0,0,0,0,R18.67
1-C7-2685,EMBASSY OF SWEDEN (PRETORIA),ORA-4868_EMB001,Active,1,1,7,0,0,0,0,0,R1 969.00
1-C7-2690,EMID (PTY) LTD,ORA-4873_EMI004,Active,1,3,66,6,20214,0,0,-2167.44,R14 576.00
1-C7-2691,EMOR TRADING CC,ORA-4874_EMO001,Active,1,1,2,0,0,0,0,0,R54.00
1-C7-2697,INHOUSE IT,ORA-4880_END001,Active,1,11,0,0,0,0,0,0,-R2 162.16
